Type,GitBook Path,Cookbook Path,Status
missing_in_cookbook,tutorials/retrieval/filter-extractor.md,,
missing_in_cookbook,tutorials/retrieval/migration-guide/gllm-retrieval-v0.5-to-v0.6.md,,
missing_in_cookbook,tutorials/retrieval/retriever/ensemble-retriever.md,,
missing_in_cookbook,tutorials/retrieval/retriever/fulltext-retriever.md,,
missing_in_cookbook,tutorials/retrieval/retriever/hierarchical-retriever.md,,
missing_in_cookbook,tutorials/retrieval/retriever/hybrid-retriever.md,,
missing_in_cookbook,tutorials/retrieval/retriever/legacy/sql-retriever.md,,
missing_in_cookbook,tutorials/retrieval/retriever/legacy/vector-retriever.md,,
missing_in_cookbook,tutorials/retrieval/retriever/parent-document-retriever.md,,
missing_in_cookbook,tutorials/retrieval/retriever/pii-aware-retriever.md,,
missing_in_cookbook,tutorials/retrieval/retriever/smart-search-retriever.md,,
missing_in_cookbook,tutorials/retrieval/retriever/vector-retriever.md,,
missing_in_cookbook,tutorials/reusable-blocks/query.md,,
missing_in_cookbook,tutorials/reusable-blocks/retrieval.md,,
missing_in_cookbook,tutorials/reusable-blocks/routing.md,,
missing_in_cookbook,tutorials/reusable-blocks/strategies.md,,
missing_in_cookbook,tutorials/security-and-privacy/guardrail/nemo-engine.md,,
missing_in_cookbook,tutorials/security-and-privacy/guardrail/phrase-matcher-engine.md,,
missing_in_cookbook,tutorials/security-and-privacy/pii-masking.md,,
cookbook_extra,,how-to-guides/index_your_data/,
cookbook_extra,,tutorials/inference/lm_invoker/lm_invoker_basic_usage/,
cookbook_extra,,tutorials/inference/lm_invoker/lm_invoker_context_management/,
cookbook_extra,,tutorials/inference/lm_invoker/lm_invoker_input_transformer/,
cookbook_extra,,tutorials/inference/lm_invoker/lm_invoker_model_switching/,
cookbook_extra,,tutorials/inference/lm_invoker/lm_invoker_output_transformer/,
cookbook_extra,,tutorials/inference/lm_invoker/lm_invoker_prompt_operations/,
cookbook_extra,,tutorials/inference/lm_invoker/lm_invoker_web_search/,
cookbook_extra,,tutorials/inference/lm_invoker/lm_invoker_with_system_prompt/,
cookbook_extra,,tutorials/inference/lm_request_processor/lm_request_processor_streaming/,
cookbook_extra,,tutorials/inference/lm_request_processor/lm_request_processor_structured_output/,
cookbook_extra,,tutorials/inference/lm_request_processor/lm_request_processor_tool_calling/,
